sale_id;month;destination_code;destination_city;destination_country;region;route_category;total_flights;total_passengers;total_revenue_eur;avg_ticket_price_eur;load_factor_pct;business_class_pct;online_booking_pct;cost_per_seat_km_eur
SAL00077;2022-03;DEL;Delhi;India;Asia;Long-haul;7;1694;1332026.61;786.32;80.0;17.7;84.1;0.0633
SAL00078;2022-03;JNB;Johannesburg;South Africa;Africa;Long-haul;4;917;715608.87;780.38;82.5;21.5;57.5;0.0985
SAL00079;2022-03;BKK;Bangkok;Thailand;Asia;Long-haul;7;1688;1210034.73;716.85;77.4;13.4;70.2;0.1188
SAL00080;2022-03;DXB;Dubai;UAE;Middle East;Long-haul;15;3309;2661610.21;804.35;88.5;20.9;69.9;0.054
SAL00081;2022-03;BRU;Brussels;Belgium;Europe;Short-haul;10;1466;266895.97;182.06;93.6;12.1;81.3;0.0564
SAL00082;2022-03;LIS;Lisbon;Portugal;Europe;Medium-haul;8;1205;275810.51;228.89;86.9;11.2;83.5;0.0437
SAL00083;2022-03;IAD;Washington;United States;North America;Long-haul;8;1910;1705219.89;892.79;76.9;14.8;59.6;0.0849
SAL00084;2022-03;IST;Istanbul;Turkey;Europe;Medium-haul;8;1176;267586.97;227.54;72.2;14.8;68.1;0.1023
SAL00085;2022-03;SIN;Singapore;Singapore;Asia;Long-haul;6;1577;1186368.71;752.29;82.6;18.4;66.0;0.1096
SAL00086;2022-03;FCO;Rome;Italy;Europe;Short-haul;10;1502;256703.76;170.91;90.2;20.3;55.4;0.0972
SAL00087;2022-03;ORD;Chicago;United States;North America;Long-haul;5;1064;844814.43;794.0;82.2;20.5;69.9;0.0941
SAL00088;2022-03;YYZ;Toronto;Canada;North America;Long-haul;6;1444;939908.73;650.91;89.5;19.6;58.2;0.0942
SAL00089;2022-03;ATH;Athens;Greece;Europe;Medium-haul;3;412;81862.46;198.7;77.7;9.4;64.7;0.0889
SAL00090;2022-03;PVG;Shanghai;China;Asia;Long-haul;2;508;455887.93;897.42;80.4;18.1;79.5;0.0998
SAL00091;2022-04;CDG;Paris;France;Europe;Short-haul;21;2939;426118.06;144.99;80.9;8.3;79.5;0.1125
SAL00092;2022-04;LHR;London;United Kingdom;Europe;Short-haul;30;4322;809 984.07;187.41;74.1;11.0;66.7;0.0517
SAL00093;2022-04;FCO;Rome;Italy;Europe;Short-haul;12;1639;233 787.30;142.64;83.4;17.5;84.1;0.0878
SAL00094;2022-04;MXP;Milan;Italy;Europe;Short-haul;10;1463;274237.44;187.45;76.7;10.1;69.5;0.0807
SAL00095;2022-04;VIE;Vienna;Austria;Europe;Short-haul;14;2071;368591.66;177.98;89,5;23.5;78.2;0.0652
SAL00096;2022-04;ZRH;Zurich;Switzerland;Europe;Short-haul;19;2728;509370.7;186.72;80.6;14.6;70.1;0.064
SAL00097;2022-04;BRU;Brussels;Belgium;Europe;Short-haul;14;1947;344986.61;177.19;73.2;12.3;59.3;0.0482
SAL00098;2022-04;DXB;Dubai;UAE;Middle East;Long-haul;8;1884;1387439.66;736.43;76.8;16.0;77.6;0.0611
SAL00099;2022-04;MAD;Madrid;Spain;Europe;Medium-haul;9;1268;338627.28;267.06;81.2;24.3;74.1;0.0937
SAL00100;2022-04;WAW;Warsaw;Poland;Europe;Short-haul;7;973;137453.67;141.27;77.2;19.0;79.1;0.1046
SAL00101;2022-04;ARN;Stockholm;Sweden;Europe;Medium-haul;3;432;108841.42;251.95;80.7;15.9;78.6;0.1038
SAL00102;2022-04;JFK;New York;United States;North America;Long-haul;10;2220;2404832.99;1083.26;84.2;24.8;57.4;0.0563
SAL00103;2022-04;DEL;Delhi;India;Asia;Long-haul;10;2327;1430442.39;614.72;70.3;14.5;60.3;0.0999
SAL00104;2022-04;CPH;Copenhagen;Denmark;Europe;Short-haul;8;1105;182443.91;165.11;89.1;8.9;84.3;0.1139
SAL00105;2022-04;IST;Istanbul;Turkey;Europe;Medium-haul;15;1947;507490.49;260.65;90.7;12.0;64.4;0.1177
SAL00106;2022-04;LIS;Lisbon;Portugal;Europe;Medium-haul;5;732;147345.46;201.29;74.7;22.9;62.0;0.1027
SAL00107;2022-04;MUC;Munich;Germany;Europe;Short-haul;25;3407;665581.88;195.36;83.9;16.6;75.0;0.0433
SAL00108;2022-04;DUS;Dusseldorf;Germany;Europe;Short-haul;12;1555;256865.14;165.19;82.2;23.2;83.0;0.0616
SAL00109;2022-04;AMS;Amsterdam;Netherlands;Europe;Short-haul;19;2557;488568.44;191.07;87.0;17.7;82.8;0.0727
SAL00110;2022-04;BCN;Barcelona;Spain;Europe;Medium-haul;12;1766;433790.25;245.63;82.4;19.2;75.3;0.068
SAL00111;2022-04;ORD;Chicago;United States;North America;Long-haul;3;831;810 219.97;974.99;80.9;9.8;76.1;0.0439
SAL00112;2022-04;BKK;Bangkok;Thailand;Asia;Long-haul;6;1386;919435.83;663.37;89.3;9.5;61.4;0.1007
SAL00113;2022-04;YYZ;Toronto;Canada;North America;Long-haul;7;1928;1510490.12;783.45;90.5;18.7;67.9;0.0932
SAL00114;2022-04;GRU;Sao Paulo;Brazil;South America;Long-haul;6;1386;1195318.15;862.42;71.4;23.7;65.0;0.053
SAL00115;2022-04;JNB;Johannesburg;South Africa;Africa;Long-haul;4;851;644984.24;757.91;70.8;20.7;60.1;0.0948
SAL00116;2022-04;ATH;Athens;Greece;Europe;Medium-haul;6;788;188944.71;239.78;76.5;15.5;80.6;0.1066
SAL00117;2022-04;PVG;Shanghai;China;Asia;Long-haul;4;1060;954469.32;900.44;71.5;10.2;57.9;0.067
SAL00118;2022-04;IAD;Washington;United States;North America;Long-haul;7;1498;923352.37;616.39;80.2;15.2;66.9;0.1186
SAL00119;2022-04;SIN;Singapore;Singapore;Asia;Long-haul;4;1009;803653.46;796.49;79.0;10.7;60.7;0.0707
SAL00120;2022-04;NRT;Tokyo;Japan;Asia;Long-haul;2;472;544247.76;1153.07;83.9;11.4;67.5;0.0988
SAL00121;2022-05;CDG;Paris;France;Europe;Short-haul;24;3262;561998.96;172.29;75.0;20.5;57.3;0.1025
SAL00122;2022-05;LHR;London;United Kingdom;Europe;Short-haul;25;3771;629657.63;166.97;86.4;11.4;56.8;0.0797
SAL00123;2022-05;AMS;Amsterdam;Netherlands;Europe;Short-haul;19;2660;517007.27;194.36;84.5;13.3;82.3;0.0608
SAL00124;2022-05;FCO;Rome;Italy;Europe;Short-haul;19;2763;526549.23;190.57;92.1;14.2;75.5;0.0907
SAL00125;2022-05;BCN;Barcelona;Spain;Europe;Medium-haul;16;2322;607051.75;261.43;75.3;10.3;81.8;0.0919
SAL00126;2022-05;VIE;Vienna;Austria;Europe;Short-haul;13;1963;356746.93;181.74;85.3;22.9;69.8;0.0804
SAL00127;2022-05;ZRH;Zurich;Switzerland;Europe;Short-haul;20;2947;532796.99;180.79;71.0;10.2;61.5;0.0449
SAL00128;2022-05;BRU;Brussels;Belgium;Europe;Short-haul;10;1342;223119.22;166.26;78.8;19.9;65.2;0.078
SAL00129;2022-05;IST;Istanbul;Turkey;Europe;Medium-haul;11;1527;376714.83;246.7;74.4;10.5;61.2;0.0913
SAL00130;2022-05;MUC;Munich;Germany;Europe;Short-haul;27;3698;629072.49;170.11;71.2;16.8;58.7;0.115
SAL00131;2022-05;JFK;New York;United States;North America;Long-haul;15;3926;3021917.52;769.72;77.9;22.3;62.3;0.0945
SAL00132;2022-05;ORD;Chicago;United States;North America;Long-haul;5;1349;1090742.97;808.56;94.0;16.6;65.9;0.1065
SAL00133;2022-05;NRT;Tokyo;Japan;Asia;Long-haul;9;2030;1448241.2;713.42;79.7;11.5;72.2;0.1168
SAL00134;2022-05;JNB;Johannesburg;South Africa;Africa;Long-haul;3;716;721363.56;1007.49;90.8;16.8;60.5;0.0928
SAL00135;2022-05;DXB;Dubai;UAE;Middle East;Long-haul;10;2330;1679667.25;720.89;80.1;22.9;76.4;0.083
SAL00136;2022-05;MXP;Milan;Italy;Europe;Short-haul;15;2274;378628.39;166.5;85.5;11.2;81.5;0.1176
SAL00137;2022-05;MAD;Madrid;Spain;Europe;Medium-haul;11;1491;366982.02;246.13;70.5;20.4;76.3;0.0635
SAL00138;2022-05;CPH;Copenhagen;Denmark;Europe;Short-haul;12;1605;245284.8;152.83;87.4;12.2;59.2;0.0907
SAL00139;2022-05;WAW;Warsaw;Poland;Europe;Short-haul;13;1842;337300.04;183.12;70.2;16.4;56.9;0.1008
SAL00140;2022-05;PVG;Shanghai;China;Asia;Long-haul;9;2151;1413555.2;657.16;87.8;20.0;74.1;0.1165
SAL00141;2022-05;ATH;Athens;Greece;Europe;Medium-haul;9;1172;292025.49;249.17;93.0;19.1;58.6;0.0672
SAL00142;2022-05;ARN;Stockholm;Sweden;Europe;Medium-haul;8;1143;284 144.62;248.6;93.3;9.8;64.8;0.0669
SAL00143;2022-05;DUS;Dusseldorf;Germany;Europe;Short-haul;16;2216;304524.91;137.42;78.4;14.6;63.6;0.0829
SAL00144;2022-05;DEL;Delhi;India;Asia;Long-haul;7;1895;1393325.75;735.26;72.0;20.3;60.1;0.0562
SAL00145;2022-05;SIN;Singapore;Singapore;Asia;Long-haul;2;487;337162.34;692.33;79.5;11.8;73.7;0.1074
SAL00146;2022-05;LIS;Lisbon;Portugal;Europe;Medium-haul;7;1026;228577.85;222.79;71.7;16.1;58.5;0.1143
SAL00147;2022-05;IAD;Washington;United States;North America;Long-haul;8;1838;1546005.03;841.13;90.8;24.3;73.6;0.1011
SAL00148;2022-05;YYZ;Toronto;Canada;North America;Long-haul;10;2463;1792335.48;727.7;91.5;11.1;63.1;0.0536
SAL00149;2022-05;BKK;Bangkok;Thailand;Asia;Long-haul;3;711;665656.97;936.23;77.4;22.4;71.7;0.1098
SAL00150;2022-05;GRU;Sao Paulo;Brazil;South America;Long-haul;2;614;499672.96;813.8;75.1;12.1;83.4;0.0686
SAL00151;2022-06;CDG;Paris;France;Europe;Short-haul;26;3839;677236.54;176.41;76.4;23.3;74.6;0.1138
SAL00152;2022-06;LHR;London;United Kingdom;Europe;Short-haul;28;4019;643484.39;160.11;75.8;24.7;81.6;0.0633
SAL00153;2022-06;FCO;Rome;Italy;Europe;Short-haul;16;2346;366699.57;156.31;73.6;24.6;75.3;0.0885
SAL00154;2022-06;MUC;Munich;Germany;Europe;Short-haul;28;4088;590 208.78;144.38;92.4;11.6;66.7;0.0614
SAL00155;2022-06;NRT;Tokyo;Japan;Asia;Long-haul;6;1456;1386448.99;952.23;86.3;24.3;61.6;0.073
SAL00156;2022-06;DEL;Delhi;India;Asia;Long-haul;7;1810;1677800.34;926.96;92,0;23.8;71.3;0.0621
SAL00157;2022-06;DXB;Dubai;UAE;Middle East;Long-haul;10;2243;1400918.01;624.57;70.4;22.7;59.5;0.0402
SAL00158;2022-06;AMS;Amsterdam;Netherlands;Europe;Short-haul;20;2759;515727.69;186.93;88.9;21.3;79.2;0.1151
SAL00159;2022-06;MXP;Milan;Italy;Europe;Short-haul;13;1908;309395.96;162.16;87.5;19.7;82.8;0.1097
SAL00160;2022-06;MAD;Madrid;Spain;Europe;Medium-haul;10;1443;316625.18;219.42;94.7;12.1;60.7;0.1133
SAL00161;2022-06;ZRH;Zurich;Switzerland;Europe;Short-haul;16;2398;425998.28;177.65;91.1;19.9;68.4;0.108
SAL00162;2022-06;ORD;Chicago;United States;North America;Long-haul;8;2123;1 486 783.22;700.32;91.1;21.2;78.7;0.0802
SAL00163;2022-06;YYZ;Toronto;Canada;North America;Long-haul;7;1722;1525346.11;885.8;76.1;19.7;74.2;0.0652
SAL00164;2022-06;GRU;Sao Paulo;Brazil;South America;Long-haul;3;729;592856.25;813.25;92.4;16.1;74.1;0.0525
SAL00165;2022-06;BCN;Barcelona;Spain;Europe;Medium-haul;15;2255;578577.52;256.58;70.7;22.5;57.6;0.0896
SAL00166;2022-06;VIE;Vienna;Austria;Europe;Short-haul;10;1400;245136.49;175.1;91.4;20.1;82.4;0.078
SAL00167;2022-06;BRU;Brussels;Belgium;Europe;Short-haul;13;1950;320416.78;164.32;87.0;22.6;74.9;0.1055
SAL00168;2022-06;CPH;Copenhagen;Denmark;Europe;Short-haul;6;835;146953.39;175.99;92.8;11.6;56.4;0.0542
SAL00169;2022-06;WAW;Warsaw;Poland;Europe;Short-haul;9;1265;214842.42;169.84;86.2;21.4;66.9;0.0535
SAL00170;2022-06;IST;Istanbul;Turkey;Europe;Medium-haul;14;2126;522694.79;245.86;74.1;20.6;64.8;0.0676
SAL00171;2022-06;DUS;Dusseldorf;Germany;Europe;Short-haul;10;1430;222657.12;155.7;84.9;21.8;74.3;0.0704
SAL00172;2022-06;JFK;New York;United States;North America;Long-haul;10;2285;1477438.92;646.58;82,2;15.1;56.6;0.1019
SAL00173;2022-06;PVG;Shanghai;China;Asia;Long-haul;13;3037;2364405.22;778.53;89.4;10.2;80.7;0.0517
SAL00174;2022-06;ATH;Athens;Greece;Europe;Medium-haul;6;794;184467.93;232.33;82.0;9.3;61.8;0.0502
SAL00175;2022-06;LIS;Lisbon;Portugal;Europe;Medium-haul;7;1073;278364.31;259.43;75.9;19.2;56.4;0.0959
SAL00176;2022-06;ARN;Stockholm;Sweden;Europe;Medium-haul;8;1066;215 268.30;201.94;75.1;17.7;83.0;0.066
SAL00177;2022-06;SIN;Singapore;Singapore;Asia;Long-haul;7;1484;1140019.59;768.21;75.9;23.3;70.1;0.1191
SAL00178;2022-06;BKK;Bangkok;Thailand;Asia;Long-haul;1;336;290144.03;863.52;79,3;17.7;60.2;0.112
SAL00179;2022-06;JNB;Johannesburg;South Africa;Africa;Long-haul;2;511;414984.43;812.1;89.0;12.7;71.5;0.0519
SAL00180;2022-06;IAD;Washington;United States;North America;Long-haul;6;1489;1498232.65;1006.2;84.1;15.8;61.1;0.0648
SAL00181;2022-07;LHR;London;United Kingdom;Europe;Short-haul;29;4283;674494.63;157.48;78.3;11.2;79.3;0.0593
SAL00182;2022-07;AMS;Amsterdam;Netherlands;Europe;Short-haul;21;2976;430993.98;144.82;79.2;12.5;69.8;0.0444
SAL00183;2022-07;FCO;Rome;Italy;Europe;Short-haul;15;2095;324090.9;154.7;76,1;24.5;66.5;0.0766
SAL00184;2022-07;IST;Istanbul;Turkey;Europe;Medium-haul;11;1455;268 391.59;184.46;70.7;22.9;59.1;0.044
SAL00185;2022-07;LIS;Lisbon;Portugal;Europe;Medium-haul;7;1023;262370.4;256.47;76.7;20.8;80.5;0.0638
SAL00186;2022-07;MUC;Munich;Germany;Europe;Short-haul;30;4306;759828.2;176.46;76.3;13.5;84.6;0.1183
SAL00187;2022-07;DUS;Dusseldorf;Germany;Europe;Short-haul;8;1078;179735.68;166.73;71.7;23.0;63.5;0.1079
SAL00188;2022-07;JFK;New York;United States;North America;Long-haul;17;3752;3315753.45;883.73;70.0;23.0;63.6;0.0667
SAL00189;2022-07;YYZ;Toronto;Canada;North America;Long-haul;7;1752;1371112.34;782.6;80.7;12.1;67.2;0.0923
SAL00190;2022-07;PVG;Shanghai;China;Asia;Long-haul;8;1920;1539366.04;801.75;93.2;8.1;79.7;0.0899
SAL00191;2022-07;DXB;Dubai;UAE;Middle East;Long-haul;10;2456;1755860.08;714.93;94,1;16.0;77.5;0.0459
SAL00192;2022-07;CDG;Paris;France;Europe;Short-haul;28;3963;733173.01;185.0;94.2;10.0;60.3;0.0466
SAL00193;2022-07;ZRH;Zurich;Switzerland;Europe;Short-haul;21;3145;600577.58;190.96;81.8;12.0;67.4;0.0404
SAL00194;2022-07;BRU;Brussels;Belgium;Europe;Short-haul;9;1278;190963.15;149.42;72.3;14.0;65.0;0.0699
SAL00195;2022-07;ORD;Chicago;United States;North America;Long-haul;9;2333;1603996.49;687.53;81.9;19.2;76.8;0.1165
SAL00196;2022-07;IAD;Washington;United States;North America;Long-haul;8;1813;1019730.23;562.45;87.2;10.5;77.0;0.1174
SAL00197;2022-07;NRT;Tokyo;Japan;Asia;Long-haul;6;1388;1150092.56;828.6;74.7;18.5;59.0;0.0936
SAL00198;2022-07;SIN;Singapore;Singapore;Asia;Long-haul;6;1295;1088505.91;840.55;82.8;8.3;84.1;0.0711
SAL00199;2022-07;BCN;Barcelona;Spain;Europe;Medium-haul;11;1615;390326.24;241.69;83.0;20.7;58.8;0.0636
SAL00200;2022-07;VIE;Vienna;Austria;Europe;Short-haul;14;1852;260505.17;140.66;81.1;12.4;62.3;0.0622
SAL00201;2022-07;ARN;Stockholm;Sweden;Europe;Medium-haul;8;1045;258737.4;247.6;73.2;19.4;59.1;0.1063
SAL00202;2022-07;DEL;Delhi;India;Asia;Long-haul;14;3510;2805250.16;799.22;73.0;24.0;57.0;0.108
SAL00203;2022-07;JNB;Johannesburg;South Africa;Africa;Long-haul;5;1143;1174894.04;1027.9;77.8;14.0;63.3;0.1171
SAL00204;2022-07;CPH;Copenhagen;Denmark;Europe;Short-haul;6;850;140430.66;165.21;80.4;19.5;71.3;0.0978
SAL00205;2022-07;WAW;Warsaw;Poland;Europe;Short-haul;9;1291;212517.91;164.61;82.5;11.3;75.5;0.0607
SAL00206;2022-07;MXP;Milan;Italy;Europe;Short-haul;15;2072;375232.0;181.1;75.4;16.1;82.0;0.086
SAL00207;2022-07;MAD;Madrid;Spain;Europe;Medium-haul;16;2301;558091.55;242.54;80.7;21.6;83.8;0.0744
SAL00208;2022-07;ATH;Athens;Greece;Europe;Medium-haul;13;1916;475242.85;248.04;84.3;17.6;67.7;0.0721
SAL00209;2022-07;BKK;Bangkok;Thailand;Asia;Long-haul;6;1312;1308618.63;997.42;86.4;19.7;56.3;0.0534
SAL00210;2022-07;GRU;Sao Paulo;Brazil;South America;Long-haul;6;1250;988500.75;790.8;80.4;16.8;81.2;0.0992
